Time,Time_Period,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Exp_Order,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Cause_of_accident,Accident_severity
7:25:00,Morning,Tuesday,31-50,Male,Junior High School,Employee,10-20,5,Automobile,Owner,Unknown,No Defect,Office area,Two Way (Undivided),Mountainous Terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,1,Other,Unspecified,Unknown,Unknown,No Injury,Self-employed,Normal,No distancing,Serious Injury
7:25:00,Morning,Tuesday,51-100,Male,Junior High School,Employee,10-20,5,Automobile,Owner,2-5 years,No Defect,Other,Two Way (Undivided),Flat Road,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Female,18-30,Slight,Self-employed,Normal,No distancing,Serious Injury
7:25:00,Morning,Tuesday,18-30,Male,Junior High School,Employee,10-20,5,Unknown,Governmental,Unknown,Unknown,Residential area,Two Way (Divided - Broken Line),Flat Road,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Unspecified,Unknown,Unknown,No Injury,Driver,Normal,No priority to vehicle,Serious Injury
17:55:00,Evening,Tuesday,18-30,Male,Junior High School,Employee,5-10,4,Public Transport,Owner,2-5 years,No Defect,Office area,Two Way (Divided - Broken Line),Flat Road,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,Slight,Driver,Unknown,No priority to vehicle,Slight Injury
17:55:00,Evening,Tuesday,Unknown,Female,Junior High School,Employee,2-5,3,Automobile,Owner,2-5 years,Unknown,Residential area,Other,Flat Road,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Unspecified,Unknown,Unknown,No Injury,Driver,Normal,Changing lane to the left,Slight Injury
1:00:00,Night,Friday,Unknown,Female,Junior High School,Employee,0-1,1,Other,Owner,Unknown,No Defect,Residential area,Two Way (Divided - Broken Line),Flat Road,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,Serious,Driver,Normal,No distancing,Slight Injury
14:15:00,Afternoon,Thursday,31-50,Male,Junior High School,Employee,0-1,1,Automobile,Owner,Unknown,No Defect,Other,Divided Road,Flat Road,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,Serious,Driver,Normal,Driving under the influence of drugs,Slight Injury
6:14:00,Morning,Friday,31-50,Male,Junior High School,Employee,2-5,3,Other,Owner,Unknown,No Defect,Hospital area,One Way,Flat Road,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Unspecified,Unknown,Unknown,No Injury,Driver,Normal,Changing lane to the left,Slight Injury
6:14:00,Morning,Friday,Unknown,Female,Elementary School,Employee,0-1,1,Lorry,Governmental,Unknown,No Defect,Other,Two Way (Undivided),Flat Road,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,Slight,Driver,Unknown,Changing lane to the right,Slight Injury
13:25:00,Afternoon,Thursday,51-100,Male,Junior High School,Employee,0-1,1,Other,Owner,Unknown,No Defect,Other,Two Way (Undivided),Flat Road,Y Shape,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Unspecified,Unknown,Unknown,No Injury,Driver,Normal,Driving to the left,Slight Injury
13:25:00,Afternoon,Thursday,18-30,Male,Junior High School,Employee,No License,6,Public Transport,Owner,Unknown,No Defect,Recreational area,One Way,Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,Slight,Driver,Normal,Driving at high speed,Slight Injury
15:10:00,Afternoon,Thursday,18-30,Male,Junior High School,Employee,5-10,4,Automobile,Owner,Unknown,No Defect,Other,Two Way (Undivided),Flat Road,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Unspecified,Unknown,Unknown,No Injury,Driver,Normal,Overtaking,Slight Injury
10:36:00,Morning,Tuesday,18-30,Male,Writing & Reading,Employee,0-1,1,Other,Owner,Unknown,No Defect,Other,Two Way (Undivided),Flat Road,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Reversing,Pedestrian,Female,18-30,Slight,Self-employed,Normal,Changing lane to the right,Serious Injury
10:36:00,Morning,Tuesday,18-30,Male,Junior High School,Employee,0-1,1,Automobile,Owner,Unknown,No Defect,Other,Two Way (Undivided),Flat Road,No junction,Asphalt roads,Dry,Daylight,Normal,With Train,1,2,Going straight,Pedestrian,Male,31-50,Slight,Driver,Normal,Changing lane to the right,Serious Injury
13:53:00,Afternoon,Saturday,18-30,Male,Junior High School,Employee,1-2,2,Lorry,Owner,Below 1 year,No Defect,Office area,Two Way (Divided - Broken Line),Flat Road,Y Shape,Asphalt roads with some distress,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Other,Unspecified,Unknown,Unknown,No Injury,Driver,Normal,Moving Backward,Slight Injury
13:23:00,Afternoon,Monday,18-30,Male,Elementary School,Employee,10-20,5,Automobile,Owner,2-5 years,No Defect,Other,Two Way (Divided - Broken Line),Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Unknown,Driver or rider,Male,31-50,Serious,Driver,Unknown,Moving Backward,Slight Injury
13:23:00,Afternoon,Monday,18-30,Male,Elementary School,Employee,10-20,5,Lorry,Owner,Unknown,No Defect,Residential area,Two Way (Divided - Broken Line),Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Getting off,Driver or rider,Male,Under 18,Slight,Driver,Normal,Changing lane to the left,Slight Injury
12:45:00,Afternoon,Saturday,18-30,Male,Elementary School,Employee,0-1,1,Lorry,Owner,5-10 years,No Defect,Other,Two Way (Undivided),Flat Road,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,Driver or rider,Male,Under 18,Slight,Driver,Normal,Moving Backward,Slight Injury
12:45:00,Afternoon,Saturday,18-30,Male,High School,Employee,2-5,3,Lorry,Owner,Unknown,No Defect,Other,Two Way (Undivided),Flat Road,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,Unspecified,Unknown,Unknown,No Injury,Driver,Normal,No distancing,Slight Injury
9:30:00,Morning,Friday,31-50,Male,Junior High School,Employee,2-5,3,Public Transport,Owner,Unknown,Unknown,Church area,Two Way (Undivided),Flat Road,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,Under 18,Slight,Self-employed,Normal,Moving Backward,Slight Injury
9:30:00,Morning,Friday,18-30,Male,Above High School,Employee,10-20,5,Automobile,Owner,1-2 years,Defect Present,Office area,Two Way (Undivided),Flat Road,Unknown,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,Over 51,Slight,Driver,Unknown,Changing lane to the right,Slight Injury
17:57:00,Evening,Tuesday,Unknown,Female,Junior High School,Employee,2-5,3,Other,Owner,Above 10 years,No Defect,School area,Other,Flat Road,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Turnover,Driver or rider,Male,18-30,Slight,Driver,Normal,Changing lane to the left,Slight Injury
8:40:00,Morning,Tuesday,Unknown,Female,Junior High School,Employee,2-5,3,Other,Owner,2-5 years,No Defect,Other,Two Way (Undivided),Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Entering a junction,Unspecified,Unknown,Unknown,No Injury,Driver,Normal,No priority to vehicle,Slight Injury
15:50:00,Afternoon,Tuesday,Unknown,Female,High School,Employee,1-2,2,Other,Owner,1-2 years,No Defect,Office area,Two Way (Undivided),Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,1,1,Entering a junction,Driver or rider,Male,31-50,Slight,Driver,Normal,No distancing,Slight Injury
23:05:00,Night,Thursday,51-100,Male,Junior High School,Employee,5-10,4,Automobile,Owner,1-2 years,No Defect,Residential area,Other,Steep Downward,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,1,Entering a junction,Unspecified,Unknown,Unknown,No Injury,Driver,Unknown,No priority to vehicle,Slight Injury
22:22:00,Night,Saturday,31-50,Male,Junior High School,Employee,0-1,1,Other,Owner,1-2 years,No Defect,Industrial area,One Way,Flat Road,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,1,Entering a junction,Driver or rider,Male,Over 51,Slight,Driver,Normal,Driving under the influence of drugs,Slight Injury
19:50:00,Evening,Wednesday,31-50,Male,Junior High School,Employee,0-1,1,Lorry,Owner,2-5 years,No Defect,Other,Two Way (Undivided),Flat Road,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Other,Unspecified,Unknown,Unknown,No Injury,Driver,Normal,Changing lane to the right,Slight Injury
19:50:00,Evening,Wednesday,18-30,Male,Elementary School,Employee,No License,6,Public Transport,Owner,1-2 years,No Defect,Residential area,Two Way (Undivided),Flat Road,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Entering a junction,Driver or rider,Male,31-50,Slight,Self-employed,Normal,No distancing,Slight Injury
21:35:00,Night,Saturday,18-30,Male,Junior High School,Employee,0-1,1,Lorry,Owner,1-2 years,No Defect,Recreational area,Two Way (Divided - Broken Line),Flat Road,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,1,Turnover,Driver or rider,Female,31-50,Slight,Self-employed,Unknown,No distancing,Slight Injury
17:25:00,Evening,Thursday,Unknown,Female,Junior High School,Employee,1-2,2,Public Transport,Owner,Unknown,Defect Present,Office area,Other,Flat Road,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Entering a junction,Passenger,Male,18-30,Slight,Driver,Normal,Changing lane to the left,Serious Injury
11:45:00,Morning,Saturday,31-50,Male,Elementary School,Employee,2-5,3,Lorry,Owner,Unknown,No Defect,Outside rural area,Two Way (Divided - Broken Line),Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,Entering a junction,Driver or rider,Male,Under 18,Slight,Driver,Normal,Changing lane to the right,Slight Injury
11:45:00,Morning,Saturday,18-30,Male,High School,Employee,1-2,2,Other,Owner,1-2 years,No Defect,Outside rural area,Two Way (Divided - Broken Line),Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Collision with roadside objects,2,1,Entering a junction,Passenger,Female,Under 18,Slight,Driver,Normal,Changing lane to the right,Slight Injury
8:40:00,Morning,Tuesday,18-30,Male,Junior High School,Employee,5-10,4,Lorry,Owner,1-2 years,No Defect,Outside rural area,Two Way (Undivided),Flat Road,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Entering a junction,Pedestrian,Male,Under 18,Slight,Driver,Unknown,Driving under the influence of drugs,Slight Injury
8:40:00,Morning,Tuesday,18-30,Male,Junior High School,Employee,0-1,1,Unknown,Governmental,Below 1 year,No Defect,Outside rural area,Two Way (Undivided),Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Entering a junction,Pedestrian,Male,Under 18,Slight,Driver,Normal,Moving Backward,Slight Injury
10:00:00,Morning,Tuesday,18-30,Male,High School,Employee,10-20,5,Public Transport,Owner,Unknown,No Defect,Outside rural area,Other,Steep Downward,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Pedestrian,Female,18-30,Slight,Driver,Normal,Changing lane to the left,Slight Injury
10:00:00,Morning,Tuesday,18-30,Male,Elementary School,Owner,5-10,4,Lorry,Owner,Unknown,No Defect,School area,Other,Steep Downward,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Unspecified,Unknown,Unknown,No Injury,Self-employed,Normal,No priority to pedestrian,Slight Injury
19:07:00,Evening,Thursday,18-30,Male,Elementary School,Employee,0-1,1,Other,Owner,Above 10 years,No Defect,Outside rural area,Two Way (Divided - Broken Line),Flat Road,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,Slight,Self-employed,Normal,No distancing,Slight Injury
19:07:00,Evening,Thursday,Unknown,Male,Junior High School,Employee,5-10,4,Other,Owner,Unknown,No Defect,Outside rural area,Two Way (Undivided),Flat Road,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Other,Passenger,Female,31-50,Slight,Self-employed,Unknown,No distancing,Slight Injury
11:20:00,Morning,Friday,31-50,Male,Elementary School,Owner,5-10,4,Automobile,Owner,Unknown,No Defect,Outside rural area,Two Way (Divided - Broken Line),Other,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Unspecified,Unknown,Unknown,No Injury,Driver,Normal,Changing lane to the left,Slight Injury
11:20:00,Morning,Friday,Unknown,Others,Junior High School,Employee,2-5,3,Lorry,Owner,2-5 years,No Defect,Outside rural area,Two Way (Divided - Broken Line),Mountainous Terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Female,31-50,Serious,Self-employed,Normal,Changing lane to the right,Slight Injury
11:00:00,Morning,Wednesday,31-50,Male,Junior High School,Employee,10-20,5,Other,Owner,2-5 years,No Defect,Office area,Two Way (Undivided),Mountainous Terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Pedestrian,Female,Under 18,Serious,Self-employed,Deaf,Driving carelessly,Slight Injury
5:35:00,Morning,Monday,31-50,Male,Junior High School,Employee,5-10,4,Automobile,Owner,2-5 years,No Defect,Outside rural area,Two Way (Undivided),Mountainous Terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Collision with pedestrians,1,1,Going straight,Unspecified,Unknown,Unknown,No Injury,Driver,Normal,No distancing,Slight Injury
17:46:00,Evening,Tuesday,51-100,Male,High School,Employee,1-2,2,Unknown,Owner,Unknown,No Defect,Outside rural area,Two Way (Undivided),Mountainous Terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,Slight,Driver,Normal,Changing lane to the left,Slight Injury
17:46:00,Evening,Tuesday,18-30,Male,Elementary School,Employee,5-10,4,Other,Owner,2-5 years,No Defect,Outside rural area,Two Way (Undivided),Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Unspecified,Unknown,Unknown,No Injury,Self-employed,Normal,Moving Backward,Slight Injury
7:00:00,Morning,Saturday,31-50,Male,Elementary School,Employee,2-5,3,Automobile,Owner,Unknown,No Defect,Office area,Two Way (Undivided),Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Male,Under 18,Slight,Self-employed,Normal,No distancing,Slight Injury
7:00:00,Morning,Saturday,Unknown,Female,Junior High School,Employee,0-1,1,Station Wagon,Owner,Unknown,No Defect,Recreational area,Two Way (Undivided),Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Overtaking,Pedestrian,Female,18-30,Fatal,Driver,Normal,No priority to pedestrian,Slight Injury
15:00:00,Afternoon,Thursday,18-30,Male,Junior High School,Employee,0-1,1,Other,Owner,Above 10 years,No Defect,Office area,Two Way (Undivided),Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Unspecified,Unknown,Unknown,No Injury,Driver,Unknown,Changing lane to the left,Slight Injury
15:00:00,Afternoon,Thursday,Unknown,Female,Junior High School,Employee,5-10,4,Unknown,Owner,2-5 years,No Defect,Other,Two Way (Divided - Broken Line),Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Unspecified,Unknown,Unknown,No Injury,Driver,Normal,No distancing,Slight Injury
8:30:00,Morning,Monday,31-50,Others,Junior High School,Owner,5-10,4,Animal Transport,Owner,Above 10 years,No Defect,Residential area,Two Way (Divided - Broken Line),Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,31-50,Serious,Driver,Normal,Driving carelessly,Slight Injury
8:22:00,Morning,Thursday,18-30,Others,Elementary School,Employee,1-2,2,Unknown,Owner,Above 10 years,No Defect,Residential area,Other,Flat Road,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,Unspecified,Unknown,Unknown,No Injury,Driver,Normal,No priority to vehicle,Slight Injury
8:22:00,Morning,Thursday,18-30,Male,Junior High School,Employee,No License,6,Other,Owner,Unknown,No Defect,Residential area,Two Way (Undivided),Flat Road,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,Driver or rider,Male,31-50,Slight,Student,Normal,Changing lane to the right,Slight Injury
17:30:00,Evening,Tuesday,18-30,Male,Elementary School,Employee,10-20,5,Lorry,Owner,Above 10 years,No Defect,Other,Two Way (Undivided),Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Unspecified,Unknown,Unknown,No Injury,Employee,Normal,Moving Backward,Slight Injury
17:30:00,Evening,Tuesday,31-50,Male,Junior High School,Owner,1-2,2,Lorry,Owner,Unknown,No Defect,Office area,Two Way (Divided - Broken Line),Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,Slight,Driver,Normal,No priority to vehicle,Slight Injury
13:23:00,Afternoon,Tuesday,31-50,Male,Junior High School,Unknown,No License,6,Lorry,Owner,Unknown,Unknown,Other,Two Way (Divided - Broken Line),Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Reversing,Unspecified,Unknown,Unknown,No Injury,Other,Normal,No priority to pedestrian,Slight Injury
2:20:00,Night,Friday,51-100,Male,Junior High School,Employee,10-20,5,Station Wagon,Owner,Above 10 years,Unknown,Other,Other,Flat Road,No junction,Other,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Female,31-50,Serious,Driver,Unknown,Changing lane to the left,Serious Injury
6:11:00,Morning,Sunday,51-100,Male,Elementary School,Owner,2-5,3,Lorry,Owner,5-10 years,Unknown,Office area,Two Way (Divided - Broken Line),Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Passenger,Male,Under 18,Slight,Driver,Unknown,Changing lane to the left,Slight Injury
6:11:00,Morning,Sunday,18-30,Male,Junior High School,Employee,5-10,4,Automobile,Owner,Below 1 year,Unknown,Church area,Other,Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Other,Driver or rider,Male,31-50,Slight,Driver,Unknown,Driving under the influence of drugs,Slight Injury
11:45:00,Morning,Sunday,31-50,Male,Junior High School,Employee,0-1,1,Automobile,Owner,Unknown,No Defect,Other,Two Way (Divided - Broken Line),Flat Road,No junction,Asphalt roads,Wet or damp,Daylight,Windy,Collision with roadside objects,1,1,Entering a junction,Driver or rider,Female,18-30,Slight,Employee,Unknown,Moving Backward,Slight Injury
9:00:00,Morning,Thursday,31-50,Male,Junior High School,Employee,5-10,4,Other,Owner,Unknown,Unknown,Other,One Way,Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Turnover,Driver or rider,Male,31-50,Slight,Driver,Unknown,Changing lane to the right,Slight Injury
9:00:00,Morning,Thursday,Unknown,Female,High School,Employee,10-20,5,Taxi,Owner,Unknown,Unknown,Office area,Divided Road,Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,31-50,Slight,Driver,Unknown,Changing lane to the right,Slight Injury
23:00:00,Night,Thursday,31-50,Male,Junior High School,Employee,5-10,4,Unknown,Owner,Unknown,Unknown,Office area,One Way,Flat Road,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,31-50,Slight,Driver,Normal,No distancing,Slight Injury
23:00:00,Night,Thursday,31-50,Male,Elementary School,Employee,1-2,2,Automobile,Owner,Unknown,Unknown,Office area,Two Way (Undivided),Flat Road,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,Slight,Self-employed,Normal,Moving Backward,Slight Injury
9:48:00,Morning,Thursday,51-100,Male,Junior High School,Employee,No License,6,Unknown,Owner,Unknown,No Defect,Office area,Divided Road,Flat Road,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Under 18,Slight,Driver,Normal,No distancing,Slight Injury
9:48:00,Morning,Thursday,51-100,Male,Elementary School,Employee,1-2,2,Lorry,Owner,Unknown,Unknown,Unknown,Two Way (Divided - Broken Line),Flat Road,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,Slight,Other,Unknown,Driving carelessly,Slight Injury
9:07:00,Morning,Thursday,31-50,Male,Junior High School,Owner,1-2,2,Public Transport,Owner,Below 1 year,Unknown,Office area,Two Way (Undivided),Flat Road,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,1,1,Going straight,Unspecified,Unknown,Unknown,No Injury,Driver,Normal,No priority to pedestrian,Slight Injury
9:10:00,Morning,Tuesday,31-50,Male,Above High School,Owner,1-2,2,Other,Owner,Unknown,Unknown,Other,Unknown,Flat Road,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,Slight,Driver,Normal,No priority to vehicle,Slight Injury
9:10:00,Morning,Tuesday,Unknown,Female,Junior High School,Owner,5-10,4,Unknown,Owner,Unknown,Unknown,Other,Divided Road,Flat Road,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Unspecified,Unknown,Unknown,No Injury,Self-employed,Normal,Moving Backward,Slight Injury
6:00:00,Morning,Saturday,18-30,Male,Junior High School,Employee,5-10,4,Other,Governmental,Unknown,Unknown,Other,Two Way (Divided - Broken Line),Flat Road,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Getting off,Driver or rider,Male,Over 51,Slight,Self-employed,Normal,Changing lane to the right,Slight Injury
6:00:00,Morning,Saturday,Unknown,Female,Elementary School,Employee,5-10,4,Lorry,Owner,Unknown,Unknown,Office area,Unknown,Flat Road,Crossing,Other,Dry,Daylight,Normal,Collision with pedestrians,2,1,Getting off,Passenger,Female,Over 51,Slight,Self-employed,Other,No distancing,Slight Injury
13:58:00,Afternoon,Friday,31-50,Male,High School,Owner,0-1,1,Automobile,Owner,Unknown,Unknown,Office area,Unknown,Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Getting off,Driver or rider,Female,Under 18,Slight,Driver,Blind,Driving carelessly,Slight Injury
13:58:00,Afternoon,Friday,18-30,Male,Junior High School,Employee,10-20,5,Other,Owner,Unknown,Unknown,Office area,Two Way (Divided - Broken Line),Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Passenger,Female,Under 18,Slight,Driver,Normal,Changing lane to the left,Slight Injury
10:04:00,Morning,Thursday,18-30,Male,Junior High School,Employee,5-10,4,Lorry,Governmental,Unknown,No Defect,Office area,Two Way (Divided - Broken Line),Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Under 18,Serious,Driver,Normal,Moving Backward,Serious Injury
10:04:00,Morning,Thursday,31-50,Male,Junior High School,Employee,0-1,1,Lorry,Owner,2-5 years,Unknown,Church area,Two Way (Undivided),Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,Slight,Self-employed,Normal,No distancing,Serious Injury
15:30:00,Afternoon,Thursday,Unknown,Female,Junior High School,Employee,10-20,5,Lorry,Governmental,Unknown,Unknown,Office area,Two Way (Divided - Broken Line),Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Waiting to go,Driver or rider,Male,18-30,Slight,Driver,Normal,Moving Backward,Slight Injury
9:40:00,Morning,Tuesday,31-50,Male,Junior High School,Employee,5-10,4,Public Transport,Governmental,Unknown,Unknown,Residential area,Two Way (Divided - Broken Line),Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,Slight,Driver,Normal,Overtaking,Slight Injury
9:40:00,Morning,Tuesday,31-50,Male,Junior High School,Owner,10-20,5,Public Transport,Owner,Unknown,Unknown,School area,Two Way (Divided - Broken Line),Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Driver or rider,Female,18-30,Slight,Driver,Normal,Changing lane to the left,Slight Injury
17:56:00,Evening,Wednesday,51-100,Male,Junior High School,Employee,5-10,4,Automobile,Owner,Unknown,Unknown,Office area,Two Way (Undivided),Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Unspecified,Unknown,Unknown,No Injury,Driver,Normal,Changing lane to the right,Slight Injury
17:56:00,Evening,Wednesday,0-17,Male,Junior High School,Employee,1-2,2,Automobile,Owner,5-10 years,Unknown,Other,Two Way (Undivided),Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,Slight,Driver,Normal,Overtaking,Slight Injury
18:42:00,Evening,Thursday,51-100,Male,Junior High School,Employee,1-2,2,Automobile,Owner,Unknown,Unknown,Other,Divided Road,Flat Road,Y Shape,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,18-30,Slight,Driver,Normal,Overloading,Serious Injury
18:42:00,Evening,Thursday,18-30,Male,Junior High School,Employee,1-2,2,Other,Governmental,Unknown,No Defect,Other,Divided Road,Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Unspecified,Unknown,Unknown,No Injury,Driver,Normal,Other,Serious Injury
